station_complex_id,borough,routes,payment_method,latitude,longitude,ridership,transfers,region,ridership_percap,transfers_percap
A002,Manhattan,"['5', 'N', 'R', '4', 'W', '6']",metrocard,40.76266098022461,-73.96725463867188,11868,995,NW,0.007434818480297543,0.000623326962242674
A002,Manhattan,"['5', 'N', 'R', '4', 'W', '6']",omny,40.76266098022461,-73.96725463867188,15570,2348,NW,0.009753970655395412,0.0014709263390410036
A006,Manhattan,"['N', 'R', 'W']",metrocard,40.76481246948242,-73.97335052490234,5546,71,NW,0.0034743430478370555,4.44786073560099e-05
A006,Manhattan,"['N', 'R', 'W']",omny,40.76481246948242,-73.97335052490234,7802,238,NW,0.004887635135092807,0.0001490973035314135
A010,Manhattan,"['N', 'R', 'Q', 'W']",metrocard,40.76466369628906,-73.98065948486328,9293,153,NW,0.005821685889569015,9.584826655590867e-05
A010,Manhattan,"['N', 'R', 'Q', 'W']",omny,40.76466369628906,-73.98065948486328,13253,275,NW,0.008302464553369004,0.00017227629609722146
A013,Manhattan,"['N', 'R', 'W']",metrocard,40.7598991394043,-73.98413848876953,7345,19,NW,0.004601343253942151,1.1902725912171665e-05
A013,Manhattan,"['N', 'R', 'W']",omny,40.7598991394043,-73.98413848876953,9618,70,NW,0.006025285148593004,4.385214809747456e-05
A022,Manhattan,"['F', 'M', 'N', 'R', 'Q', 'B', 'W', 'D']",metrocard,40.74971771240234,-73.98782348632812,25452,198,NW,0.01594464104824175,0.00012403893318999946
A022,Manhattan,"['F', 'M', 'N', 'R', 'Q', 'B', 'W', 'D']",omny,40.74971771240234,-73.98782348632812,32661,512,NW,0.02046078584302309,0.0003207471403700996
A027,Manhattan,"['R', 'W']",metrocard,40.7454948425293,-73.98869323730469,3200,7,NW,0.0020046696273131226,4.3852148097474555e-06
A027,Manhattan,"['R', 'W']",omny,40.7454948425293,-73.98869323730469,5233,49,NW,0.0032782612999154906,3.069650366823219e-05
A030,Manhattan,"['R', 'W']",metrocard,40.741302490234375,-73.98934173583984,4852,68,NW,0.003039580322413522,4.259922958040385e-05
A030,Manhattan,"['R', 'W']",omny,40.741302490234375,-73.98934173583984,7631,188,NW,0.004780510601883262,0.00011777434060464594
A034,Manhattan,"['5', 'N', 'R', 'Q', '4', 'L', 'W', '6']",metrocard,40.73573684692383,-73.98995208740234,21850,404,NW,0.013688134798997414,0.00025308954044828174
A034,Manhattan,"['5', 'N', 'R', 'Q', '4', 'L', 'W', '6']",omny,40.73573684692383,-73.98995208740234,39900,554,NW,0.024995724415560496,0.00034705842922858434
A038,Manhattan,"['R', 'W']",metrocard,40.73032760620117,-73.99263000488281,4632,22,NW,0.0029017592855357446,1.3782103687777717e-05
A038,Manhattan,"['R', 'W']",omny,40.73032760620117,-73.99263000488281,10760,104,NW,0.006740701621840374,6.515176288767648e-05
A041,Manhattan,"['R', 'W']",metrocard,40.72433090209961,-73.9977035522461,4173,7,NW,0.0026142144858680187,4.3852148097474555e-06
A041,Manhattan,"['R', 'W']",omny,40.72433090209961,-73.9977035522461,9061,43,NW,0.005676347341588814,2.6937748117020084e-05
A043,Manhattan,"['J', 'N', 'R', 'Z', 'Q', 'W', '6']",metrocard,40.71952819824219,-73.99989318847656,11970,35,NW,0.0074987173246681485,2.192607404873728e-05
A043,Manhattan,"['J', 'N', 'R', 'Z', 'Q', 'W', '6']",omny,40.71952819824219,-73.99989318847656,15791,119,NW,0.009892418151531725,7.454865176570675e-05
A047,Manhattan,"['R', 'W']",metrocard,40.71328353881836,-74.0069808959961,1306,2,SW,0.0008181557916471682,1.2529185170707015e-06
A047,Manhattan,"['R', 'W']",omny,40.71328353881836,-74.0069808959961,1726,12,SW,0.0010812686802320155,7.51751110242421e-06
A054,Manhattan,"['R', 'W']",metrocard,40.707218170166016,-74.01334381103516,1182,37,SW,0.0007404748435887846,2.3178992565807977e-05
A054,Manhattan,"['R', 'W']",omny,40.707218170166016,-74.01334381103516,1855,113,SW,0.0011620819245830756,7.078989621449464e-05
A064,Manhattan,"['J', 'Z']",metrocard,40.72027969360352,-73.99391174316406,2,0,NW,1.2529185170707015e-06,0.0
A069,Manhattan,"['J', '5', 'Z', '4', '6']",metrocard,40.71324157714844,-74.00340270996094,6246,26,SW,0.003912864528811801,1.628794072191912e-05
A069,Manhattan,"['J', '5', 'Z', '4', '6']",omny,40.71324157714844,-74.00340270996094,9199,51,SW,0.005762798719266692,3.194942218530289e-05
A083,Manhattan,"['J', 'Z']",metrocard,40.70647430419922,-74.01105499267578,1,0,SW,6.264592585353507e-07,0.0
B004,Brooklyn,"['Q', 'B']",metrocard,40.67705154418945,-73.97236633300781,1,0,SW,3.8602347949211665e-07,0.0
B009,Brooklyn,['S'],metrocard,40.67477035522461,-73.95762634277344,359,2,SW,0.00013858242913766987,7.720469589842333e-07
B009,Brooklyn,['S'],omny,40.67477035522461,-73.95762634277344,436,1,SW,0.00016830623705856284,3.8602347949211665e-07
B013,Brooklyn,"['Q', 'S', 'B']",metrocard,40.66161346435547,-73.96224975585938,1815,41,SW,0.0007006326152781916,1.5826962659176783e-05
B013,Brooklyn,"['Q', 'S', 'B']",omny,40.66161346435547,-73.96224975585938,2206,49,SW,0.0008515677957596093,1.8915150495113714e-05
B014,Brooklyn,['Q'],metrocard,40.65529251098633,-73.96149444580078,13,0,SW,5.0183052333975165e-06,0.0
B016,Brooklyn,"['Q', 'B']",metrocard,40.65052795410156,-73.96298217773438,21,0,SW,8.10649306933445e-06,0.0
B016,Brooklyn,"['Q', 'B']",omny,40.65052795410156,-73.96298217773438,14,1,SW,5.404328712889633e-06,3.8602347949211665e-07
B017,Brooklyn,['Q'],metrocard,40.6440315246582,-73.96449279785156,3,0,SW,1.1580704384763498e-06,0.0
B017,Brooklyn,['Q'],omny,40.6440315246582,-73.96449279785156,1,0,SW,3.8602347949211665e-07,0.0
